,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
7273,flowing-feather-570,finished,59,ReLU,casual,0.883971576,3481,128,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,q3bjjn44h8,2,1,1,0.797880746,40.78450337,40.78450337,0,0.126921819,0.128660444,23.90764758,0.081636938,0.084966292,1,1.34E-07,1,1.86E-07,0.958223168,0.985111792
7274,wobbly-wildflower-569,finished,59,ReLU,casual,0.619302842,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,uygyx5khmy,2,1,1,0.756003015,68.28445382,68.31973175,0,0.146217102,0.148165228,26.2013038,0.101238327,0.104637324,1,1.66E-07,1,3.03E-07,0.97255181,0.492549333
7275,prime-spaceship-568,finished,59,ReLU,casual,0.65605424,3481,128,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,mdcmgs4sfb,2,1,1,0.744109639,57.47472443,57.4918112,0,0.124068995,0.126760802,23.95462147,0.092468739,0.092271206,1,1.30E-07,1,1.73E-07,0.973509029,0.873142226
7276,bright-spaceship-567,finished,59,ReLU,casual,0.021925933,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,3q7nm3o538,2,1,1,0.993141325,60.19384104,60.19384104,0,0.038291502,0.038032286,22.57924651,0.02315178,0.027057825,1,0.005674454,0.998565257,0.011481071,0.974725372,0.806249442
7277,splendid-pine-566,finished,59,ReLU,casual,0.991694054,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,rbwpkloszg,2,1,1,0.881507395,56.77875355,56.77875355,0,0.152916688,0.155104664,25.28002813,0.064734242,0.065878843,1,1.53E-07,1,2.21E-07,0.603544191,0.996359112
7278,rare-bee-565,finished,59,ReLU,casual,0.668862413,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,m8sgs1y4kt,2,1,1,0.777857878,66.49757965,66.50781286,0,0.11618127,0.113936352,23.53351567,0.100804693,0.093055192,0.49712643,1.504881669,0.493543774,1.507562118,0.578998446,0.937151195
7279,mild-thunder-564,finished,59,ReLU,casual,0.692287705,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,vlotiure6n,2,1,1,0.359612444,74.49859188,74.50135825,0,0.160294826,0.157245269,25.25225824,0.150711012,0.151236821,1,1.61E-07,1,4.48E-07,0.944580048,0.997986319
7280,crisp-fog-563,finished,59,ReLU,casual,0.42988551,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,rl37h77am3,2,1,1,0.930996492,45.94545127,45.99812776,0,0.087158796,0.087393699,14.70770683,0.083809325,0.087476266,1,2.40E-08,1,3.01E-08,0.995920446,0.931247098
7281,still-butterfly-562,finished,59,ReLU,casual,0.401779025,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,hopxdsv47l,2,1,1,0.834297824,55.02254915,55.06431528,0,0.150098462,0.14884108,24.68829182,0.086500813,0.09084219,1,1.60E-07,1,2.02E-06,0.993451946,0.574181893
7282,polished-violet-561,finished,59,ReLU,casual,0.663637134,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,w2hqrzfk24,2,1,1,0.203532391,57.16243474,57.16375609,0,0.220354746,0.218712364,15.47031739,0.2172218,0.216839037,1,2.72E-08,1,3.46E-08,0.99833383,0.99283557
