,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
1797,serene-violet-4351,finished,59,ReLU,casual,0.45435401,3481,127,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,zy14kfuwqf,2,1,1,0.937734375,78.74275923,78.74275923,0,0.068367151,0.066030476,27.59331817,0.060927494,0.060275089,1,0.034581367,0.995695829,0.053873835,0.836749863,0.972903685
1798,lucky-oath-4350,finished,59,ReLU,casual,0.02726648,3481,48,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,3dzz1744x7,2,1,1,0.255124838,25.6765131,25.84537361,0,0.215606785,0.214187495,23.59099238,0.210323351,0.20887083,1,1.81E-07,1,2.47E-07,0.993811116,0.995427411
1799,worldly-paper-4349,finished,59,ReLU,casual,0.728580826,3481,44,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,sn3tiagyn1,2,1,1,0.928538328,103.7050973,103.7189183,0,0.082021174,0.081128509,16.04932902,0.068902316,0.075747901,0.961206913,0.496499884,0.958393097,0.510209456,-0.121874389,0.431894032
1800,genial-dream-4348,finished,59,ReLU,casual,0.363053363,3481,45,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,h8gppd2yx7,2,1,1,0.543346713,42.53839263,42.54038701,0,0.146664531,0.138267714,24.59886261,0.127326253,0.127900693,1,2.08E-07,1,4.52E-07,0.977401112,0.847440918
1801,clean-valley-4347,finished,59,ReLU,casual,0.648502602,3481,114,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,i8g5xfov5a,2,1,1,0.977757196,70.46133094,70.46484456,0,0.053729133,0.055262985,15.5410296,0.035141304,0.043307196,1,0.037119522,1,0.044810746,0.954803672,0.939451744
1802,true-sun-4346,finished,59,ReLU,casual,0.585032743,3481,178,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,xdwp5ewhvp,2,1,1,0.277530383,42.21081219,42.29163786,0,0.194680563,0.194003673,24.10506191,0.188342211,0.188129341,1,1.37E-07,1,1.80E-07,0.9930259,0.996558616
1803,deft-fire-4345,finished,59,ReLU,casual,0.727093572,3481,251,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,c7ab4j5hbd,2,1,1,0.687544032,69.39253575,69.39253575,0,0.136730607,0.13574647,16.87454906,0.131409641,0.131648457,1,3.26E-08,1,5.54E-08,0.997789686,0.997115117
1804,eternal-brook-4344,finished,59,ReLU,casual,0.720935628,3481,181,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,ihsetxsqo1,2,1,1,0.669618914,45.0596019,45.07450258,0,0.13740113,0.134392904,23.91731906,0.102688683,0.098204839,1,1.22E-07,1,1.69E-07,0.62066022,0.995914201
1805,eager-fog-4343,finished,59,ReLU,casual,0.409044541,3481,230,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,rymsl8nt2p,2,0.998565257,1,0.748688922,292.9342274,264.2421793,0.001434743,0.082038315,0.071996808,26.13784348,0.045296822,0.038815256,1,1.50E-07,0.997130573,0.021874612,0.988997679,0.349138358
1806,generous-bee-4342,finished,59,ReLU,casual,0.161807578,3481,415,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,mu3pg93lwq,2,1,1,0.608626125,64.1268646,64.1268646,0,0.172841886,0.170684379,23.94973403,0.135499648,0.135457217,1,1.27E-07,1,2.98E-07,0.990901482,0.702059319
1807,young-tree-4341,finished,59,ReLU,casual,0.856700384,3481,55,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,6ar9fzimd3,2,0.941176474,0.989583313,0.808364418,1289.236088,328.7378737,0.048406839,0.09866907,0.079046171,38.82860777,0.097422275,0.078986812,0.975933909,0.184554565,0.909612656,0.336662249,0.996832108,0.353799641
1808,sparkling-salad-4340,finished,59,ReLU,casual,0.108181461,3481,42,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,vwrtj1c7eb,2,1,1,0.890431015,24.96449426,25.00212989,0,0.08548719,0.085764108,17.37451847,0.065455032,0.066067197,1,0.020515868,1,0.023497829,0.975138706,0.688386903
1809,sleek-cherry-4339,finished,59,ReLU,casual,0.076648664,3481,34,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,vdlf3mvp9e,2,1,1,0.301592244,29.36598036,29.36598036,0,0.187643307,0.186360744,23.55461507,0.180349024,0.180155235,1,2.23E-07,1,2.87E-07,0.995497872,0.996201318
